Order,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
168,Ava Max,"6,18,29,63,810","22,25,36,835",105,1,15,19.09.22
169,Jhay Cortez,"6,17,05,53,828","1,24,90,18,420",82,1,11,20.08.22
170,Bastille,"6,15,87,28,878","15,65,39,720",205,2,10,09.09.22
171,Joji,"6,15,07,74,573","72,34,33,712",52,0,17,19.09.22
172,Polo G,"6,13,61,58,071","2,09,50,79,434",75,0,14,31.07.22
173,Lorde,"6,00,69,34,967","28,65,23,906",57,0,19,19.09.22
174,Usher,"5,98,15,18,153","3,24,10,74,771",257,0,15,15.09.22
175,Hozier,"5,96,71,26,876",0,69,1,14,18.09.22
176,David Bowie,"5,96,09,76,370","3,50,86,750","1,315",1,12,13.09.22
177,Banda MS de Sergio Lizárraga,"5,92,48,56,095","55,20,822",216,0,19,31.07.22
178,Luke Combs,"5,89,01,99,848","15,03,84,172",68,0,15,21.08.22
179,Mariah Carey,"5,88,84,65,193","40,10,02,898",660,1,12,20.09.22
180,Skrillex,"5,88,17,56,686","1,64,08,65,351",149,0,14,31.07.22
181,Christian Nodal,"5,83,58,20,936","40,92,56,344",69,0,18,20.08.22
182,Big Sean,"5,79,10,66,758","6,18,95,67,932",153,0,13,04.09.22
183,The Killers,"5,77,45,50,053","3,59,729",213,1,11,18.09.22
184,Alessia Cara,"5,76,82,56,100","2,74,80,95,478",138,2,8,04.09.22
185,Foo Fighters,"5,76,12,40,710",0,237,0,12,15.09.22
186,Playboi Carti,"5,75,61,21,719","1,67,96,04,284",82,0,14,17.09.22
187,French Montana,"5,68,79,56,941","3,40,70,44,954",672,1,11,05.08.22
188,Tory Lanez,"5,65,75,31,451","2,62,29,81,646",256,0,12,08.09.22
189,U2,"5,62,22,27,589","30,33,72,985",522,0,8,18.09.22
190,Manuel Turizo,"5,61,09,07,877","2,31,16,37,889",66,0,17,26.08.22
191,Meek Mill,"5,60,95,38,227","1,90,05,50,120",440,0,9,12.09.22
192,Jack Harlow,"5,60,61,52,807","31,58,06,334",96,1,10,12.09.22
193,blink-182,"5,56,85,05,079","6,61,90,562",185,0,10,14.09.22
194,Led Zeppelin,"5,55,44,21,214","1,18,988",241,0,13,18.09.22
195,Daft Punk,"5,55,16,91,330","3,32,03,64,189",190,0,12,24.08.22
196,Radiohead,"5,53,13,24,257","22,06,126",233,0,8,18.09.22
197,Jorge & Mateus,"5,48,62,63,204","1,10,83,75,019",280,0,11,12.09.22
198,Henrique & Juliano,"5,46,69,63,460","81,27,48,773",177,0,14,12.09.22
199,Roddy Ricch,"5,44,63,54,074","3,48,99,78,704",61,1,15,20.09.22
200,Elvis Presley,"5,44,28,77,510","56,34,626","1,855",0,11,03.09.22
201,Meghan Trainor,"5,41,88,74,209","1,02,58,79,971",141,0,11,18.09.22
